ＪＡＮコード,分類コード,商品名,標準小売価格,発売日,仕入入数,仕入個口,賞味期間,賞味期間（月）,ピース重量,ケース正面縦,ケース正面横,ケース奥行,ケース重量,原材料,アレルゲン,栄養成分,エネルギー,たんぱく質,脂質,炭水化物,ナトリウム,添加物等,本部データの登録,サイズ(ピース)正面縦,サイズ(ピース)正面横,サイズ(ピース)奥行,ケースサイズ確認
4.90165E+12,132,＄扇雀飴はちみつ１００％のキャンデー　５７ｇ,200,20160105,6,8,３６０日,12,61,615,315,183,4132,はちみつ,,100ｇあたり,214,0,0,53.6,1,,無,205,145,20,
4.90165E+12,132,＄扇雀飴はちみつとりんご１００％のキャンデー５３ｇ,200,20160912,6,8,３６５日,12,57,318,308,355,3889,はちみつ、りんご、りんごエキス,りんご,1製品（50g）,196,0.2,0,48.9,0,,無,205,145,20,
4.90165E+12,132,＄扇雀飴　くださいキャンデー８０ｇ,200,20160912,6,8,３６５日,12,84,318,308,355,5241,,,,0,0,0,0,0,,無,210,150,20,
4.90165E+12,132,＄扇雀飴　食べるえごま油キャンデー　８０ｇ,200,20160912,6,8,３６５日,12,84,318,308,355,5185,水飴、砂糖、加糖練乳、乳製品、乳糖、食用えごま油、生クリーム、食塩、香料(大豆を含む)、乳化剤,乳、大豆,1製品（76ｇ）,292,2.4,1.9,66.4,173,香料(大豆を含む)、乳化剤,無,210,150,20,
4.90165E+12,132,扇雀飴　マヌカハニーと花粉の力はなのど飴　８０ｇ,200,20170123,6,8,３６５日,12,84,318,308,355,5185,砂糖、水飴、マヌカハニー、ミツバチ花粉エキス、香料、酸味料、着色料（カラメル）,,1製品（76g）,298,0,0.1,74.2,2,香料、酸味料、着色料（カラメル）,無,210,150,20,
4.90165E+12,132,＄扇雀飴　桜香るみるくキャンディ　８０ｇ,200,20170206,6,8,３６５日,12,85,318,308,355,5289,水飴、砂糖、還元水飴、加糖練乳、生クリーム、食塩、桜花ペースト/香料、乳化剤、着色料（アントシアニン）、酸味料,乳,１製品（７５g）,286,0.4,2.3,66,0,香料、乳化剤、着色料(アントシアニン)等,無,150,210,20,
4.90165E+12,132,＄扇雀飴　忍たま乱太郎フルーツキャンデーの段７０ｇ,200,20170313,6,8,３６５日,12,74,318,308,355,4761,砂糖、水飴、濃縮果汁（ぶどう・りんご・もも）／酸味料、香料、着色料（アントシアニン・クチナシ・カラメル）,もも、りんご,1製品（66g）,257,0,0,64.3,0,酸味料、香料、着色料等,無,205,145,20,
4.90165E+12,132,＄扇雀飴　のど包むのど飴　８０ｇ,200,20170918,6,8,３６５日,12,85,328,308,400,5368,砂糖、水飴、エリスリトール、ハーブエキス/香料、増粘多糖類、緑茶抽出物、着色料（カラメル）、酸味料、ポリグルタミン酸（大豆由来）,大豆,１製品（７６ｇ）,286,0,0,71.5,0,香料、増粘多糖類、緑茶抽出物等,無,220,155,20,
4.90165E+12,132,＄扇雀飴　焦がしグルメＣＡＮＤＹ　６５ｇ,200,20170911,6,8,３６５日,12,69,328,308,435,4580,水飴、砂糖、加糖練乳、乳糖、乳製品、バター、クリーム、乳等を主要原料とする食品、植物油脂、りんご濃縮果汁、コーヒーエキス、食塩、ゼラチン/トレハロース、香料（卵由来）、酸味料、着色料（カラメル・アントシアニン）、乳化剤、CMC（安定剤）、糊料（アラビアガム）,卵、乳、りんご、ゼラチン,１製品（61ｇ）,242,0.8,1.8,55.6,0,トレハロース、香料（卵由来）、酸味料等,無,210,155,20,
4.90165E+12,132,扇雀飴　はちみつ１００％のキャンデー　５１ｇ,200,20170918,6,8,３６５日,12,55,318,308,355,3793,はちみつ,,１粒（３．３ｇ）,13,0,0,3.3,0,,無,205,145,20,
